state,ideology,name,party
AK,-0.521,"Spohnholz, Ivy",D
AK,0.48,"Stutes, Louise B.",R
AK,0.814,"Talerico, David M.",R
AK,-0.654,"Tarr, Geran",D
AK,0.765,"Thompson, Steve",R
AK,1.029,"Tilton, Cathy",R
AK,-0.641,"Tuck, Chris",D
AK,0.673,"Vazquez, Liz",R
AK,0.879,"Wilson, Tammie",R
AK,-0.341,"Wool, Adam",D
AZ,1.368,"Bowers, Russell",R
AZ,-1.325,"Hale, Albert",D
AZ,-1.795,"McCune Davis, Debbie",D
AZ,-1.242,"Rios, Rebecca",D
AZ,0.797,"Ackerley, John Christopher",R
AZ,1.29,"Allen, John",R
AZ,-2.043,"Alston, Lela",D
AZ,-1.947,"Andrade, Richard C.",D
AZ,1.033,"Barton, Brenda",R
AZ,-1.418,"Benally, Jennifer D.",D
AZ,-1.149,"Bolding, Reginald",D
AZ,1.341,"Borrelli, Sonny",R
AZ,1.062,"Boyer, Paul",R
AZ,0.838,"Campbell, Noel",R
AZ,-1.001,"Cardenas, Mark A.",D
AZ,0.68,"Carter, Heather",R
AZ,-1.583,"Clark, Ken",D
AZ,1.054,"Cobb, Regina",R
AZ,0.691,"Coleman, Doug",R
AZ,-1.261,"Espinoza, Diego",D
AZ,0.956,"Fann, Karen",R
AZ,1.975,"Farnsworth, Edwin W.",R
AZ,-2.636,"Fernandez, Charlene R.",D
AZ,1.627,"Finchem, Mark",R
AZ,-1.781,"Friese, Randall",D
AZ,-1.696,"Gabaldón, Rosanna",D
AZ,-2.214,"Gonzales, Sally Ann",D
AZ,1.308,"Gowan, David Sr.",R
AZ,1.22,"Gray, Rick",R
AZ,1.854,"Kern, Anthony",R
AZ,-1.916,"Kopec, Matthew A.",D
AZ,-1.335,"Larkin, Jonathan",D
AZ,1.303,"Lawrence, Jay",R
AZ,1.416,"Leach, Vince",R
AZ,1.345,"Livingston, David",R
AZ,1.236,"Lovas, Phil",R
AZ,-1.595,"Mach, Stefanie",D
AZ,0.494,"McGee, Kate Brophy",R
AZ,-2.374,"Mendez, Juan",D
AZ,1.202,"Mesnard, Javan",R
AZ,-1.267,"Meyer, Eric",D
AZ,1.772,"Mitchell, Darin",R
AZ,1.776,"Montenegro, Steve",R
AZ,1.255,"Norgaard, Jill",R
AZ,1.642,"Olson, Justin",R
AZ,-1.299,"Otondo, Lisa",D
AZ,1.864,"Petersen, Warren",R
AZ,-1.729,"Plumlee, Celeste",D
AZ,0.773,"Pratt, Frank",R
AZ,0.98,"Rivero, Tony",R
AZ,0.805,"Robson, Bob",R
AZ,-1.4,"Saldate, Macario IV",D
AZ,0.77,"Shope, Thomas",R
AZ,1.374,"Stevens, David",R
AZ,1.43,"Thorpe, Bob",R
AZ,1.379,"Townsend, Kelly",R
AZ,1.22,"Ugenti-Rita, Michelle",R
AZ,-2.205,"Velasquez, Ceci",D
AZ,1.229,"Weninger, Jeff",R
AZ,-1.291,"Wheeler, Bruce",D
AR,0.7,"Hendren, Kim",R
AR,-0.28,"Armstrong, Charles",D
AR,-0.432,"Armstrong, Eddie III",D
AR,0.273,"Baine, John",D
AR,2.431,"Ballinger, Bob",R
AR,0.324,"Baltz, Joseph",D
AR,1.1,"Beck, Rick",R
AR,2.475,"Bell, Jerry",R
AR,0.06,"Bennett, Russell",D
AR,1.181,"Bentley, Mary",R
AR,-0.634,"Blake, Charles",D
AR,0.648,"Boyd, Justin",R
AR,1.03,"Bragg, Ken",R
AR,0.927,"Branscum, David",R
AR,-0.357,"Broadaway, Mary",D
AR,1.033,"Brown, Karilyn B.",R
AR,1.123,"Collins, Charles",R
AR,1.178,"Copeland, Donnie",R
AR,1.374,"Cozart, Bruce",R
AR,1.407,"Davis, Andy",R
AR,1.428,"Deffenbaugh, Gary",R
AR,0.625,"Della Rosa, Jana",R
AR,2.255,"Dotson, James",R
AR,1.6,"Douglas, Charlotte",R
AR,0.585,"Douglas, Dan",R
AR,0.992,"Drown, Trevor",R
AR,0.921,"Eads, Lance",R
AR,0.953,"Eaves, Les",R
AR,1.392,"Eubanks, Jon",R
AR,1.089,"Farrer, Joe",R
AR,0.181,"Ferguson, Deborah",D
AR,-0.364,"Ferguson, Ken",D
AR,0.132,"Fielding, David",D
AR,1.07,"Fite, Charlene",R
AR,1.059,"Fite, Lanny",R
AR,-0.493,"Flowers, Vivian",D
AR,1.54,"Gates, Mickey",R
AR,0.987,"Gillam, Jeremy",R
AR,1.955,"Gonzales, Justin",R
AR,0.955,"Gossage, Bill",R
AR,0.223,"Gray, Michael John",D
AR,1.16,"Gray, Michelle",R
AR,1.158,"Hammer, Kim",R
AR,2.355,"Harris, Justin",R
AR,0.951,"Henderson, Kenneth",R
AR,0.807,"Hickerson, Mary",R
AR,0.153,"Hillman, David",D
AR,1.16,"Hodges, Grant",R
AR,-0.254,"Hodges, Monte",D
AR,0.438,"Holcomb, Mike",D
AR,0.972,"House, Douglas",R
AR,1.129,"Jean, Lane",R
AR,0.141,"Jett, Logan",D
AR,0.121,"Johnson, J.P. Bob",D
AR,1.072,"Ladyman, Jack",R
AR,0.323,"Lampkin, Sheilla",D
AR,0.106,"Leding, Gregory",D
AR,1.16,"Lemons, Tim",R
AR,1.34,"Linck, Kelley",R
AR,-0.652,"Love, Fredrick J",D
AR,1.359,"Lowery, Mark",R
AR,2.12,"Lundstrum, Robin",R
AR,-0.004,"Magie, Stephen",D
AR,1.093,"Mayberry, Julie",R
AR,-0.181,"McElroy, Mark",D
AR,-0.38,"McGill, George",D
AR,0.864,"McNair, Ron",R
AR,2.223,"Meeks, David",R
AR,1.129,"Meeks, Stephen",R
AR,1.789,"Miller, Josh",R
AR,-0.632,"Murdock, Reginald",D
AR,0.918,"Neal, Micah",R
AR,-0.105,"Nicks Jr, Milton",D
AR,0.217,"Overbey, Betty",D
AR,1.437,"Payton, John",R
AR,1.08,"Petty, Rebecca",R
AR,0.734,"Pitsch, Matthew W.",R
AR,0.321,"Ratliff, James",D
AR,0.082,"Richey, Chris",D
AR,1.18,"Richmond, Marcus Edward",R
AR,1.026,"Rushing, Laurie",R
AR,-0.669,"Sabin, Warwick",D
AR,0.771,"Scott, Sue",R
AR,1.262,"Shepherd, Matthew",R
AR,1.154,"Smith, Brandt",R
AR,1.037,"Sorvillo, Jim",R
AR,0.921,"Speaks, Nelda",R
AR,0.912,"Sturch, James",R
AR,1.21,"Sullivan, Dan",R
AR,0.2,"Talley, James",D
AR,1.118,"Tosh, Dwight",R
AR,-0.105,"Tucker, Clarke",D
AR,1.077,"Vaught, DeAnn",R
AR,0.419,"Vines, John",D
AR,0.091,"Walker, John W",D
AR,1.221,"Wardlaw, Jeffrey",D
AR,-0.556,"Whitaker, David",D
AR,1.736,"Womack, Richard",R
AR,-0.319,"Wright, Marshall",D
CA,-2.035,"Wieckowski, Robert",D
CA,0.89,"Achadjian, Katcho",R
CA,-1.768,"Alejo, Luis",D
CA,1.682,"Allen, Travis",R
CA,-0.91,"Arambula, Juan",D
CA,0.8,"Baker, Catharine",R
CA,1.642,"Bigelow, Frank",R
CA,-1.765,"Bloom, Richard",D
CA,-1.61,"Bonilla, Susan",D
CA,-1.94,"Bonta, Rob",D
CA,1.845,"Brough, William",R
CA,-1.086,"Brown, Cheryl",D
CA,-1.607,"Burke, Autumn",D
CA,-1.661,"Calderon, Ian",D
CA,-1.638,"Campos, Nora",D
CA,1.02,"Chang, Ling-ling",R
CA,-1.998,"Chau, Edwin",D
CA,1.157,"Chavez, Rocky",R
CA,-2.109,"Chiu, David",D
CA,-1.925,"Chu, Kansen",D
CA,-0.689,"Cooley, Ken",D
CA,-0.939,"Cooper, Jim",D
CA,-0.95,"Dababneh, Matthew",D
CA,1.555,"Dahle, Brian",R
CA,-1.007,"Daly, Tom",D
CA,-1.408,"Eggman, Susan",D
CA,-0.861,"Frazier, Jim",D
CA,1.764,"Gaines, Beth",R
CA,1.46,"Gallagher, James",R
CA,-1.637,"Garcia, Cristina",D
CA,-1.852,"Garcia, Eduardo",D
CA,-0.755,"Gatto, Mike",D
CA,-1.857,"Gipson, Mike",D
CA,-1.911,"Gomez, Jimmy",D
CA,-1.692,"Gonzalez, Lorena",D
CA,-1.651,"Gordon, Richard",D
CA,-0.573,"Gray, Adam",D
CA,1.896,"Grove, Shannon",R
CA,0.91,"Hadley, David",R
CA,2.576,"Harper, Matthew",R
CA,-1.586,"Hernandez, Roger",D
CA,-1.691,"Holden, Chris",D
CA,-0.533,"Irwin, Jacqui",D
CA,-1.882,"Jones-Sawyer, Reginald Sr.",D
CA,1.72,"Jones, Brian",R
CA,1.259,"Kim, Young",R
CA,0.947,"Lackey, Tom",R
CA,-1.101,"Levine, Marc",D
CA,0.926,"Linder, Eric",R
CA,-1.794,"Lopez, Patty",D
CA,-1.795,"Low, Evan",D
CA,0.959,"Maienschein, Brian",R
CA,1.522,"Mathis, Devon",R
CA,1.386,"Mayes, Chad",R
CA,-1.921,"McCarty, Kevin",D
CA,-1.129,"Medina, Jose",D
CA,1.527,"Melendez, Melissa",R
CA,-1.934,"Mullin, Kevin",D
CA,-2.017,"Nazarian, Adrin",D
CA,-1.406,"O'Donnell, Patrick",D
CA,1.6,"Obernolte, Jay P",R
CA,1.109,"Olsen, Kristin",R
CA,1.633,"Patterson, Jim",R
CA,-0.879,"Perea, Henry",D
CA,-1.678,"Quirk, Bill",D
CA,-2.134,"Rendon, Anthony",D
CA,-1.31,"Ridley-Thomas, Sebastian",D
CA,-1.586,"Rodriguez, Freddie",D
CA,-0.43,"Salas, Rudy Jr.",D
CA,-2.287,"Santiago, Miguel",D
CA,1.222,"Steinorth, Marc",R
CA,-2.459,"Stone, Mark",D
CA,-2.26,"Thurmond, Tony",D
CA,-2.124,"Ting, Philip",D
CA,1.601,"Wagner, Donald",R
CA,1.205,"Waldron, Marie",R
CA,-1.876,"Weber, Shirley",D
CA,-1.689,"Williams, Das",D
CA,-1.529,"Wood, Jim",D
CO,-1.314,"Arndt, Jennifer J.",D
CO,1.08,"Becker, Jon",R
CO,-1.981,"Becker, KC",D
CO,1.261,"Brown, J.",R
CO,2.845,"Buck, Perry",R
CO,-2.274,"Buckner, John",D
CO,1.9,"Carver, Terri L.",R
CO,1.412,"Conti, Kathleen",R
CO,1.483,"Coram, Don",R
CO,-2.192,"Danielson, Jessie",D
CO,1.648,"DelGrosso, Brian",R
CO,1.663,"Dore, Timothy",R
CO,-1.893,"Duran, Crisanta",D
CO,-2.771,"Esgar, Daneya",D
CO,3.661,"Everett, Justin",R
CO,-2.213,"Fields, Rhonda",D
CO,-1.902,"Foote, Mike",D
CO,-2.235,"Garnett, Alec",D
CO,-2.096,"Ginal, Joann",D
CO,-2.157,"Hamner, Millie",D
CO,-1.945,"Hullinghorst, Dickey Lee",D
CO,3.706,"Humphrey, Stephen",R
CO,2.507,"Joshi, Janak",R
CO,-1.605,"Kagan, Daniel",D
CO,2.368,"Keyser, Jon",R
CO,2.64,"Klingenschmitt, Gordon James",R
CO,-1.688,"Kraft-Tharp, Tracy",D
CO,1.736,"Landgraf, Lois",R
CO,1.875,"Lawrence, Polly",R
CO,-1.584,"Lebsock, Steve",D
CO,-2.063,"Lee, Sanford",D
CO,3.216,"Leonard, Tim",R
CO,-2.522,"Lontine, Susan",D
CO,2.182,"Lundeen, Paul",R
CO,-1.776,"McCann, Elizabeth",D
CO,-1.954,"Melton, Jovan",D
CO,-1.701,"Mitsch Bush, Diane",D
CO,-2.254,"Moreno, Dominick",D
CO,1.579,"Navarro-Ratzlaff, Clarice",R
CO,3.658,"Neville, Patrick",R
CO,2.241,"Nordberg, Dan",R
CO,-1.809,"Pabon, Daniel",D
CO,-1.796,"Pettersen, Brittany",D
CO,-1.513,"Primavera, Dianne",D
CO,1.343,"Priola, Kevin",R
CO,1.124,"Rankin, Robert E.",R
CO,2.955,"Ransom, Kim",R
CO,-1.741,"Rosenthal, Paul",D
CO,1.025,"Roupe, Catherine M.",R
CO,-1.855,"Ryden, Su",D
CO,3.088,"Saine, Lori",R
CO,-2.313,"Salazar, Joseph",D
CO,1.742,"Sias, Lang",R
CO,-1.687,"Singer, Jonathan",D
CO,1.166,"Thurlow, Daniel R.",R
CO,-1.798,"Tyler, Max",D
CO,2.521,"Van winkle, Kevin",R
CO,-0.934,"Vigil, Edward",D
CO,1.821,"Willett, Yeulin",R
CO,-2.008,"Williams, Angela",D
CO,1.457,"Wilson, James",R
CO,1.617,"Windholz, Joann",R
CO,-2.713,"Winter, Faith",D
CO,2.214,"Wist, Cole",R
CO,-1.278,"Young, David",D
CT,-1.16,"Abercrombie, Catherine F.",D
CT,0.143,"Ackert, Timothy",R
CT,-1.17,"Adams, Terry B.",D
CT,0.039,"Adinolfi, Alfred",R
CT,0.381,"Alberts, Mike",R
CT,-1.474,"Albis, James",D
CT,-1.071,"Alexander, David",D
CT,-0.919,"Altobello, Emil Jr.",D
CT,-0.063,"Aman, William",R
CT,-1.212,"Arce, Angel",D
CT,-1.029,"Arconti, David Jr.",D
CT,-1.21,"Aresimowicz, Joe",D
CT,-1.171,"Baker, Andre F.",D
CT,-1.337,"Baram, David A.",D
CT,-0.977,"Becker, Brian",D
CT,0.732,"Belsito, Sam",R
CT,-0.946,"Berger, Jeffrey J.",D
CT,-0.064,"Berthel, Eric C.",R
CT,0.355,"Betts, Whit",R
CT,-0.109,"Bocchino, Mike",R
CT,0.068,"Bolinsky, Mitch",R
CT,-1.023,"Boukus, Elizabeth",D
CT,-0.969,"Brycki, Paul J.",D
CT,0.503,"Buck-Taylor, Cecilia",R
CT,-0.11,"Bumgardner, Aundré",R
CT,-1.048,"Butler, Larry B.",D
CT,-0.152,"Byron, Gary",R
CT,0.213,"Camillo, Alfred Jr.",R
CT,-1.188,"Candelaria, Juan R.",D
CT,0.228,"Candelora, Vincent J.",R
CT,-0.106,"Carney, Devin R.",R
CT,0.061,"Carpino, Christie M.",R
CT,0.049,"Carter, Dan",R
CT,0.473,"Case, Jay M.",R
CT,-1.009,"Conroy, Theresa W.",D
CT,-1.201,"Cook, Michelle L.",D
CT,-1.153,"Cuevas, Victor",D
CT,-1.146,"Currey, Jeffrey A.",D
CT,-1.423,"D'Agostino, Michael",D
CT,0.084,"D'Amelio, Anthony J.",R
CT,-1.014,"Dargan, Stephen D.",D
CT,-0.002,"Davis, Christopher",R
CT,-1.295,"Demicco, Mike",D
CT,-0.247,"Devlin, Laura",R
CT,-1.069,"Dillon, Patricia A.",D
CT,0.723,"Dubitsky, Douglas",R
CT,-1.003,"Esposito, Louis Jr.",D
CT,-0.07,"Ferraro, Charles J.",R
CT,-1.303,"Fleischmann, Andrew M.",D
CT,-0.099,"Floren, Livvy R.",R
CT,-1.12,"Fox, Gerald III",D
CT,1.207,"France, Mike F.",R
CT,0.175,"Frey, John H.",R
CT,-0.863,"Fritz, Mary",D
CT,-1.149,"Genga, Henry J.",D
CT,-1.099,"Gentile, Linda M.",D
CT,0.043,"Giegler, Janice R.",R
CT,-1.096,"Godfrey, Robert",D
CT,-1.199,"Gonzalez, Minnie",D
CT,-1.181,"Gresko, Joseph P.",D
CT,-0.924,"Guerrera, Antonio",D
CT,-1.393,"Haddad, Gregory",D
CT,-0.909,"Hampton, John K.",D
CT,-0.104,"Harding, Stephen G.",R
CT,-1.295,"Hennessy, John F.",D
CT,-1.282,"Hewett, Ernest",D
CT,-0.011,"Hoydick, Laura R.",R
CT,-1.013,"Janowski, Claire L.",D
CT,-1.356,"Johnson, Susan M.",D
CT,-0.953,"Jutila, Ed",D
CT,-1.297,"Kiner, David W.",D
CT,-0.024,"Klarides, Themis",R
CT,-0.066,"Kokoruda, Noreen S.",R
CT,-0.099,"Kupchick, Brenda L.",R
CT,0.015,"Labriola, David K.",R
CT,-0.007,"Lavielle, Gail",R
CT,-0.106,"LeGeyt, Timothy B.",R
CT,-1.593,"Lemar, Roland J.",D
CT,-1.467,"Lesser, Matthew",D
CT,-1.244,"Lopes, Rick",D
CT,-1.34,"Luxenberg, Kelly J.",D
CT,0.5,"MacLachlan, Jesse D.",R
CT,-0.926,"McCarthy Vahey, Cristin",D
CT,-0.199,"McCarty, Kathleen M.",R
CT,-1.22,"McCrory, Douglas",D
CT,-1.326,"McGee, Brandon Jr.",D
CT,-0.084,"McGorty, Ben",R
CT,-1.303,"Megna, Robert W.",D
CT,-1.285,"Miller, Patricia",D
CT,-1.399,"Miller, Philip J.",D
CT,0.37,"Miner, Craig A.",R
CT,-1.171,"Morin, Russell A.",D
CT,-1.26,"Morris, Bruce V.",D
CT,0.579,"Mulligan, Gayle J.",R
CT,-1.2,"Mushinsky, Mary M.",D
CT,-0.752,"Nicastro, Frank Sr.",D
CT,0.108,"Noujaim, Selim G.",R
CT,0.101,"O'Dea, Tom",R
CT,0.062,"O'Neill, Arthur J.",R
CT,-1.059,"Orange, Linda A.",D
CT,0.016,"Pavalock, Christine",R
CT,0.068,"Perillo, Jason",R
CT,-1.155,"Perone, Chris",D
CT,0.756,"Piscopo, John E.",R
CT,-1.349,"Porter, Robyn A.",D
CT,-1.023,"Randall, Christine",D
CT,-0.041,"Rebimbas, Rosa C.",R
CT,-1.106,"Reed, Lonnie",D
CT,-1.283,"Reyes, Gerald C.",D
CT,-1.38,"Riley, Melissa M.",D
CT,-1.258,"Ritter, Matthew",D
CT,-1.108,"Rojas, Jason",D
CT,-1.411,"Rosario, Christopher",D
CT,-0.937,"Rose, Kim",D
CT,-0.403,"Rovero, Daniel S.",D
CT,0.011,"Rutigliano, David",R
CT,-1.087,"Ryan, Kevin",D
CT,0.813,"Sampson, Robert C.",R
CT,-1.149,"Sanchez, Robert",D
CT,-1.328,"Santiago, Ezequiel",D
CT,-1.226,"Santiago, Hilda E.",D
CT,-0.937,"Sayers, Peggy",D
CT,-1.132,"Scanlon, Sean",D
CT,0.046,"Scott, John F.",R
CT,-1.059,"Serra, Joseph C.",D
CT,0.082,"Shaban, John",R
CT,-1.295,"Sharkey, Brendan",D
CT,0.106,"Simanski, Bill",R
CT,-1.081,"Simmons, Caroline",D
CT,0.076,"Smith, Richard A.",R
CT,0.568,"Sredzinski, J.P.",R
CT,-0.057,"Srinivasan, Prasad",R
CT,-1.21,"Stafstrom, Steven",D
CT,-1.334,"Stallworth, Charlie L.",D
CT,-0.006,"Staneski, Pam",R
CT,-0.992,"Steinberg, Jonathan",D
CT,-1.579,"Tercyak, Peter A.",D
CT,-1.131,"Tong, William",D
CT,0.588,"Tweedie, Mark D.",R
CT,-1.378,"Urban, Diana S.",D
CT,0.718,"Vail, Kurt A.",R
CT,-1.374,"Vargas, Edwin Jr.",D
CT,-1.003,"Verrengia, Joe",D
CT,-1.546,"Walker, Toni E.",D
CT,-1.138,"Willis, Roberta B.",D
CT,0.446,"Wilms, Fred",R
CT,-0.045,"Wood, Terrie",R
CT,-0.078,"Yaccarino, Dave W.",R
CT,0.596,"Zawistowski, Tami",R
CT,0.364,"Ziobron, Melissa H.",R
CT,-1.067,"Zoni, David",D
CT,0.368,"Zupkus, Lezlye",R
DE,-1.002,"Barbieri, Michael A.",D
DE,-1.243,"Baumbach, Paul S.",D
DE,-0.632,"Bennett, Andria",D
DE,-1.315,"Bolden, Stephanie",D
DE,-0.849,"Brady, Gerald",D
DE,0.735,"Briggs King, Ruth",R
DE,-0.417,"Carson, William Jr.",D
DE,1.171,"Collins, Richard",R
DE,0.514,"Dukes, Timothy D.",R
DE,0.546,"Gray, Ronald",R
DE,-0.976,"Heffernan, Debra",D
DE,-0.012,"Hensley, Kevin S.",R
DE,0.475,"Hudson, Deborah D.",R
DE,-0.825,"Jaques, Earl Jr.",D
DE,-1.046,"Johnson, James",D
DE,-0.821,"Johnson, S. IV",D
DE,-0.895,"Keeley, Helene",D
DE,0.757,"Kenton, Harvey",R
DE,-0.92,"Kowalko, John Jr.",D
DE,-0.692,"Longhurst, Valerie",D
DE,-1.448,"Lynn, Sean M.",D
DE,-0.908,"Marshall, Melanie George",D
DE,-1.726,"Matthews, Sean",D
DE,0.069,"Miro, Joseph",R
DE,-0.828,"Mitchell, John Jr.",D
DE,-0.912,"Mulrooney, Michael",D
DE,-1.036,"Osienski, Edward",D
DE,0.429,"Outten, William",R
DE,-0.629,"Paradee, William III",D
DE,0.764,"Peterman, Harold",R
DE,-1.228,"Potter, Charles Jr.",D
DE,0.027,"Ramone, Michael",R
DE,-0.839,"Schwartzkopf, Peter",D
DE,-0.789,"Short, Bryon",D
DE,0.262,"Short, Daniel",R
DE,0.086,"Smyk, Stephen",R
DE,0.303,"Spiegelman, Jeffrey",R
DE,-0.951,"Viola, John",D
DE,-0.858,"Williams, Kimberly",D
DE,0.993,"Wilson, David",R
DE,0.916,"Yearick, Lyndon Dean",R
FL,0.76,"Adkins, Janet",R
FL,0.72,"Ahern, Lawrence",R
FL,0.752,"Albritton, Ben",R
FL,-0.972,"Antone, Bruce",D
FL,0.679,"Avila, Bryan",R
FL,-1.226,"Berman, Lori",D
FL,0.516,"Beshears, Halsey",R
FL,0.648,"Bileca, Michael",R
FL,0.747,"Boyd, Jim",R
FL,-1.092,"Bracy, Randolph III",D
FL,0.767,"Brodeur, Jason T",R
FL,0.762,"Broxson, Douglas",R
FL,0.651,"Burgess, Daniel",R
FL,0.698,"Burton, Colleen",R
FL,0.711,"Caldwell, Matthew",R
FL,-0.982,"Campbell, Daphne",D
FL,-1.083,"Clarke-Reed, Gwyndolen",D
FL,0.986,"Combee, Neil",R
FL,0.752,"Corcoran, Richard M.",R
FL,-1.661,"Cortes, John",D
FL,0.722,"Cortes, Robert",R
FL,0.45,"Costello, Fredrick",R
FL,0.772,"Crisafulli, Steve",R
FL,-1.229,"Cruz, Janet",D
FL,0.825,"Cummings, W. Travis",R
FL,0.51,"Diaz, Jose",R
FL,0.743,"Diaz, Manny Jr.",R
FL,0.664,"Drake, Brad",R
FL,-1.083,"Dubose, Bobby",D
FL,-0.899,"Dudley, Dwight",D
FL,0.827,"Eagle, Dane",R
FL,-0.634,"Edwards, Katie",D
FL,0.787,"Eisnaugle, Eric",R
FL,0.744,"Fant III, Julian",R
FL,0.57,"Fitzenhagen, Heather",R
FL,0.633,"Fresen, Erik",R
FL,-1.032,"Fullwood, Reginald",D
FL,1.102,"Gaetz, Matt",R
FL,-1.303,"Geller, Joseph S.",D
FL,0.75,"Gonzalez, Julio",R
FL,0.342,"Goodson, Tom",R
FL,0.714,"Grant, James",R
FL,1.198,"Hager, Bill",R
